pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-150,z,,,,,0,1,1,3,528.3060958000001,,528.2912167,528.3060958000001,529.3060048,529.3060048,529.3060048,529.3060048,529.3060048,530.3059788,530.3059788,530.7570014,z,1,0.4370752999998331,None,01,001,2024-10-16_22h57.47.638,PSY310 Task4,2024.1.5,None,2024-10-16 22h58.08.227879 +0530,
150,v,,,,,0,2,2,1,530.7725771,,530.757795,530.7725771,531.7727848,531.7727848,531.7727848,531.7727848,531.7727848,532.7726199000001,532.7726199000001,533.3896735000001,v,1,0.6143382999998721,None,01,001,2024-10-16_22h57.47.638,PSY310 Task4,2024.1.5,None,2024-10-16 22h58.08.227879 +0530,
150,v,,,,,0,3,3,1,533.4057206,,533.3904367,533.4057206,534.4056943999999,534.4056943999999,534.4056943999999,534.4056943999999,534.4056943999999,535.4056513,535.4056513,536.0230569,v,1,0.6075239000001602,None,01,001,2024-10-16_22h57.47.638,PSY310 Task4,2024.1.5,None,2024-10-16 22h58.08.227879 +0530,
-50,x,,,,,1,0,4,0,536.0390102000001,,536.0237947999999,536.0390102000001,537.0390212,537.0390212,537.0390212,537.0390212,537.0390212,538.0389479,538.0389479,538.6730663999999,x,1,0.6269485000000259,None,01,001,2024-10-16_22h57.47.638,PSY310 Task4,2024.1.5,None,2024-10-16 22h58.08.227879 +0530,
150,v,,,,,1,1,5,1,538.6887231999999,,538.6738436,538.6887231999999,539.6887714,539.6887714,539.6887714,539.6887714,539.6887714,540.6889004,540.6889004,541.1563911999999,v,1,0.4619890999999825,None,01,001,2024-10-16_22h57.47.638,PSY310 Task4,2024.1.5,None,2024-10-16 22h58.08.227879 +0530,
150,v,,,,,1,2,6,1,541.1722405999999,,541.1573656999999,541.1722405999999,542.1718977999999,542.1718977999999,542.1718977999999,542.1718977999999,542.1718977999999,543.1718175999999,543.1718175999999,543.6061788,v,1,0.43360580000012305,None,01,001,2024-10-16_22h57.47.638,PSY310 Task4,2024.1.5,None,2024-10-16 22h58.08.227879 +0530,
-50,x,,,,,1,3,7,0,543.6217823,,543.6072311,543.6217823,544.6218589,544.6218589,544.6218589,544.6218589,544.6218589,545.621658,545.621658,546.3390729,x,1,0.7007625999999618,None,01,001,2024-10-16_22h57.47.638,PSY310 Task4,2024.1.5,None,2024-10-16 22h58.08.227879 +0530,
-50,x,,,,,2,0,8,0,546.3549471000001,,546.3398033999999,546.3549471000001,547.3549324,547.3549324,547.3549324,547.3549324,547.3549324,548.3549949000001,548.3549949000001,548.8723977,x,1,0.5091781999999512,None,01,001,2024-10-16_22h57.47.638,PSY310 Task4,2024.1.5,None,2024-10-16 22h58.08.227879 +0530,
150,v,,,,,2,1,9,1,548.8882601,,548.8731531999999,548.8882601,549.8881914000001,549.8881914000001,549.8881914000001,549.8881914000001,549.8881914000001,550.8882891999999,550.8882891999999,551.4726757000001,v,1,0.5808554000000186,None,01,001,2024-10-16_22h57.47.638,PSY310 Task4,2024.1.5,None,2024-10-16 22h58.08.227879 +0530,
-50,x,,,,,2,2,10,0,551.4880989000001,,551.4734215000001,551.4880989000001,552.4879900999999,552.4879900999999,552.4879900999999,552.4879900999999,552.4879900999999,553.4878808999999,553.4878808999999,554.0720249000001,x,1,0.5728368999998565,None,01,001,2024-10-16_22h57.47.638,PSY310 Task4,2024.1.5,None,2024-10-16 22h58.08.227879 +0530,
